#,Customer Name,Branch,Zone,September,October,November
10426,,Dayniile,Wardheere,0,0,0
10456,,Dayniile,Wardheere,0,0,0
10457,,Dayniile,Wardheere,0,0,0
10488,,Dayniile,Wardheere,22,27,20
10495,,Dayniile,Wardheere,11,11,11
10498,,Dayniile,Wardheere,14,10,15
10510,,Dayniile,Wardheere,0,0,0
10511,,Dayniile,Wardheere,7,6,8
10535,,Dayniile,Wardheere,15,17,15
10536,,Dayniile,Wardheere,7,7,10
10541,,Dayniile,Wardheere,1,3,6
10543,,Dayniile,Wardheere,20,35,29
10557,,Dayniile,Wardheere,5,6,3
10574,,Dayniile,Wardheere,0,0,0
10575,,Dayniile,Wardheere,9,12,11
10576,,Dayniile,Wardheere,0,0,0
10577,,Dayniile,Wardheere,4,3,2
10578,,Dayniile,Wardheere,5,3,5
10579,,Dayniile,Wardheere,4,2,1
10580,,Dayniile,Wardheere,4,7,5
10581,,Dayniile,Wardheere,12,8,8
10638,,Dayniile,Wardheere,1,4,4
10651,,Dayniile,Wardheere,8,8,8
10668,,Dayniile,Wardheere,21,22,26
10687,,Dayniile,Wardheere,15,16,22
10718,,Dayniile,Wardheere,0,0,0
10756,,Dayniile,Wardheere,0,0,0
10773,,Dayniile,Wardheere,0,0,0
10774,,Dayniile,Wardheere,0,0,0
10797,,Dayniile,Wardheere,5,4,3
10838,,Dayniile,Wardheere,0,0,0
10839,,Dayniile,Wardheere,4,4,5
10855,,Dayniile,Wardheere,0,0,0
10875,,Dayniile,Wardheere,6,4,6
10893,,Dayniile,Wardheere,0,0,0
10899,,Dayniile,Wardheere,5,6,8
10904,,Dayniile,Wardheere,1,1,1
10949,,Dayniile,Wardheere,6,2,3
10968,,Dayniile,Wardheere,0,0,0
10987,,Dayniile,Wardheere,7,7,8
10994,,Dayniile,Wardheere,0,0,0
10998,,Dayniile,Wardheere,7,9,11
11006,,Dayniile,Wardheere,9,10,10
11007,,Dayniile,Wardheere,3,3,2
11037,,Dayniile,Wardheere,9,10,10
11072,,Dayniile,Wardheere,6,5,6
11074,,Dayniile,Wardheere,15,15,16
11082,,Dayniile,Wardheere,6,0,6
11083,,Dayniile,Wardheere,0,0,0
11132,,Dayniile,Wardheere,0,0,0
11147,,Dayniile,Wardheere,0,0,0
11159,,Dayniile,Wardheere,0,0,0
11169,,Dayniile,Wardheere,0,0,0
11183,,Dayniile,Wardheere,5,6,6
11196,,Dayniile,Wardheere,6,5,4
11197,,Dayniile,Wardheere,10,10,12
11207,,Dayniile,Wardheere,0,0,0
11213,,Dayniile,Wardheere,27,28,28
11219,,Dayniile,Wardheere,5,5,3
11248,,Dayniile,Wardheere,12,10,11
11249,,Dayniile,Wardheere,0,0,0
11251,,Dayniile,Wardheere,7,4,7
11267,,Dayniile,Wardheere,9,9,10
11270,,Dayniile,Wardheere,21,16,17
11283,,Dayniile,Wardheere,9,8,9
11285,,Dayniile,Wardheere,0,0,0
11315,,Dayniile,Wardheere,6,11,11
11332,,Dayniile,Wardheere,17,24,32
11334,,Dayniile,Wardheere,6,7,6
11340,,Dayniile,Wardheere,6,5,0
11341,,Dayniile,Wardheere,13,10,11
11347,,Dayniile,Wardheere,0,0,0
11353,,Dayniile,Wardheere,0,0,0
11355,,Dayniile,Wardheere,8,8,9
11365,,Dayniile,Wardheere,18,14,14
11378,,Dayniile,Wardheere,11,12,13
11379,,Dayniile,Wardheere,5,6,6
11385,,Dayniile,Wardheere,9,9,7
11386,,Dayniile,Wardheere,10,6,6
11405,,Dayniile,Wardheere,19,19,19
11422,,Dayniile,Wardheere,9,8,9
11425,,Dayniile,Wardheere,10,9,7
11431,,Dayniile,Wardheere,10,9,12
11439,,Dayniile,Wardheere,4,9,12
11451,,Dayniile,Wardheere,9,10,10
11461,,Dayniile,Wardheere,8,7,9
11467,,Dayniile,Wardheere,15,19,19
11470,,Dayniile,Wardheere,12,10,8
11521,,Dayniile,Wardheere,4,2,3
11522,,Dayniile,Wardheere,65,54,59
11523,,Dayniile,Wardheere,17,15,20
11576,,Dayniile,Wardheere,3,1,2
11577,,Dayniile,Wardheere,6,7,5
12974,,Dayniile,Wardheere,0,0,1
12975,,Dayniile,Wardheere,0,0,1
12976,,Dayniile,Wardheere,0,0,15
12977,,Dayniile,Wardheere,0,0,7
12979,,Dayniile,Wardheere,0,0,5
12980,,Dayniile,Wardheere,0,0,3
189,,Dayniile,Raadeel,2,2,2
223,,Dayniile,Raadeel,11,12,11
288,,Dayniile,Raadeel,3,4,3
289,,Dayniile,Raadeel,8,10,9
325,,Dayniile,Raadeel,6,7,6
326,,Dayniile,Raadeel,7,9,7
327,,Dayniile,Raadeel,6,8,6
328,,Dayniile,Raadeel,9,10,9
329,,Dayniile,Raadeel,8,9,9
441,,Dayniile,Raadeel,7,4,6
442,,Dayniile,Raadeel,4,6,5
443,,Dayniile,Raadeel,21,28,19
444,,Dayniile,Raadeel,10,9,8
445,,Dayniile,Raadeel,5,4,4
446,,Dayniile,Raadeel,3,3,2
447,,Dayniile,Raadeel,7,5,7
448,,Dayniile,Raadeel,6,6,6
449,,Dayniile,Raadeel,1,1,1
450,,Dayniile,Raadeel,9,8,8
451,,Dayniile,Raadeel,3,5,3
452,,Dayniile,Raadeel,7,7,6
453,,Dayniile,Raadeel,4,0,1
454,,Dayniile,Raadeel,2,3,2
455,,Dayniile,Raadeel,21,27,24
456,,Dayniile,Raadeel,4,2,2
457,,Dayniile,Raadeel,5,6,7
458,,Dayniile,Raadeel,6,5,7
459,,Dayniile,Raadeel,6,7,4
460,,Dayniile,Raadeel,4,3,4
461,,Dayniile,Raadeel,3,2,3
462,,Dayniile,Raadeel,4,4,4
463,,Dayniile,Raadeel,5,6,6
464,,Dayniile,Raadeel,8,7,6
465,,Dayniile,Raadeel,6,4,5
466,,Dayniile,Raadeel,2,3,3
1616,,Dayniile,Raadeel,7,10,4
1617,,Dayniile,Raadeel,6,6,6
1618,,Dayniile,Raadeel,7,9,8
1619,,Dayniile,Raadeel,5,5,4
1620,,Dayniile,Raadeel,13,14,11
1621,,Dayniile,Raadeel,6,6,7
1622,,Dayniile,Raadeel,8,8,8
1623,,Dayniile,Raadeel,8,9,7
1624,,Dayniile,Raadeel,5,6,6
1625,,Dayniile,Raadeel,3,4,3
1626,,Dayniile,Raadeel,3,3,4
1627,,Dayniile,Raadeel,3,2,3
1628,,Dayniile,Raadeel,129,107,127
1629,,Dayniile,Raadeel,18,16,17
1630,,Dayniile,Raadeel,3,3,3
1631,,Dayniile,Raadeel,4,1,2
1632,,Dayniile,Raadeel,6,6,4
1633,,Dayniile,Raadeel,7,9,2
1634,,Dayniile,Raadeel,5,5,4
1635,,Dayniile,Raadeel,2,3,2
1636,,Dayniile,Raadeel,4,4,4
1637,,Dayniile,Raadeel,7,8,8
1638,,Dayniile,Raadeel,5,5,5
1639,,Dayniile,Raadeel,7,2,2
1640,,Dayniile,Raadeel,5,5,4
1641,,Dayniile,Raadeel,1,4,3
1642,,Dayniile,Raadeel,4,4,4
1643,,Dayniile,Raadeel,5,5,4
1644,,Dayniile,Raadeel,2,1,1
1645,,Dayniile,Raadeel,4,5,6
1646,,Dayniile,Raadeel,7,6,5
1647,,Dayniile,Raadeel,4,5,4
1648,,Dayniile,Raadeel,7,7,9
1649,,Dayniile,Raadeel,7,4,5
1650,,Dayniile,Raadeel,16,15,16
1651,,Dayniile,Raadeel,7,5,5
1652,,Dayniile,Raadeel,26,37,32
1653,,Dayniile,Raadeel,11,11,9
1654,,Dayniile,Raadeel,12,11,10
1655,,Dayniile,Raadeel,4,3,3
1656,,Dayniile,Raadeel,1,1,2
1657,,Dayniile,Raadeel,5,4,6
1658,,Dayniile,Raadeel,5,7,6
1659,,Dayniile,Raadeel,13,16,16
1660,,Dayniile,Raadeel,5,6,6
1661,,Dayniile,Raadeel,3,1,2
1662,,Dayniile,Raadeel,10,6,7
1663,,Dayniile,Raadeel,6,8,7
1664,,Dayniile,Raadeel,3,4,3
1665,,Dayniile,Raadeel,5,4,8
1666,,Dayniile,Raadeel,7,7,8
1667,,Dayniile,Raadeel,5,6,7
1668,,Dayniile,Raadeel,3,1,2
1669,,Dayniile,Raadeel,5,4,7
1670,,Dayniile,Raadeel,11,9,11
1671,,Dayniile,Raadeel,5,5,4
1672,,Dayniile,Raadeel,5,4,6
1673,,Dayniile,Raadeel,4,4,5
1674,,Dayniile,Raadeel,6,7,6
1675,,Dayniile,Raadeel,5,6,5
1676,,Dayniile,Raadeel,8,9,10
1677,,Dayniile,Raadeel,4,4,3
1678,,Dayniile,Raadeel,7,6,7
1679,,Dayniile,Raadeel,7,7,8
1680,,Dayniile,Raadeel,3,2,2
1681,,Dayniile,Raadeel,8,9,13
1682,,Dayniile,Raadeel,10,9,11
1683,,Dayniile,Raadeel,10,8,14
1684,,Dayniile,Raadeel,2,2,1
1685,,Dayniile,Raadeel,11,12,7
1686,,Dayniile,Raadeel,8,9,8
1687,,Dayniile,Raadeel,2,1,2
1688,,Dayniile,Raadeel,6,7,6
1689,,Dayniile,Raadeel,7,7,8
1690,,Dayniile,Raadeel,8,5,7
1691,,Dayniile,Raadeel,5,4,5
1692,,Dayniile,Raadeel,2,1,2
1693,,Dayniile,Raadeel,5,5,6
1694,,Dayniile,Raadeel,7,6,6
1695,,Dayniile,Raadeel,9,9,10
1696,,Dayniile,Raadeel,7,8,10
1697,,Dayniile,Raadeel,22,29,32
1698,,Dayniile,Raadeel,9,9,10
1699,,Dayniile,Raadeel,5,6,6
1700,,Dayniile,Raadeel,24,13,12
1701,,Dayniile,Raadeel,9,8,7
1702,,Dayniile,Raadeel,5,5,4
1703,,Dayniile,Raadeel,5,5,7
1704,,Dayniile,Raadeel,9,8,9
1705,,Dayniile,Raadeel,2,4,3
1706,,Dayniile,Raadeel,3,3,2
1707,,Dayniile,Raadeel,8,10,9
1708,,Dayniile,Raadeel,8,10,9
1709,,Dayniile,Raadeel,8,7,7
1710,,Dayniile,Raadeel,4,1,1
1711,,Dayniile,Raadeel,3,4,3
1712,,Dayniile,Raadeel,13,16,13
1713,,Dayniile,Raadeel,7,8,6
1714,,Dayniile,Raadeel,5,3,4
1715,,Dayniile,Raadeel,6,6,6
1716,,Dayniile,Raadeel,3,3,3
1717,,Dayniile,Raadeel,8,8,8
1718,,Dayniile,Raadeel,8,9,8
1719,,Dayniile,Raadeel,4,3,3
1720,,Dayniile,Raadeel,1,1,1
1721,,Dayniile,Raadeel,2,0,4
1722,,Dayniile,Raadeel,1,2,3
1723,,Dayniile,Raadeel,9,9,10
1724,,Dayniile,Raadeel,5,4,4
1725,,Dayniile,Raadeel,8,10,9
1726,,Dayniile,Raadeel,4,4,3
1727,,Dayniile,Raadeel,3,5,3
1728,,Dayniile,Raadeel,10,9,9
1729,,Dayniile,Raadeel,3,2,2
1730,,Dayniile,Raadeel,4,4,5
1731,,Dayniile,Raadeel,3,2,4
1732,,Dayniile,Raadeel,6,8,7
1733,,Dayniile,Raadeel,4,3,5
1734,,Dayniile,Raadeel,4,3,3
1735,,Dayniile,Raadeel,4,4,4
1736,,Dayniile,Raadeel,1,1,1
1737,,Dayniile,Raadeel,6,6,5
1738,,Dayniile,Raadeel,4,3,3
1739,,Dayniile,Raadeel,3,3,2
1740,,Dayniile,Raadeel,4,4,5
1741,,Dayniile,Raadeel,5,4,4
1742,,Dayniile,Raadeel,5,5,6
1743,,Dayniile,Raadeel,2,1,2
1744,,Dayniile,Raadeel,5,5,5
1745,,Dayniile,Raadeel,10,10,10
1746,,Dayniile,Raadeel,7,7,8
1747,,Dayniile,Raadeel,10,11,13
1748,,Dayniile,Raadeel,13,8,7
1749,,Dayniile,Raadeel,7,6,8
1750,,Dayniile,Raadeel,3,3,3
1751,,Dayniile,Raadeel,4,6,3
1752,,Dayniile,Raadeel,5,6,7
1753,,Dayniile,Raadeel,5,5,3
1754,,Dayniile,Raadeel,19,18,25
1755,,Dayniile,Raadeel,2,2,2
1756,,Dayniile,Raadeel,8,5,5
1757,,Dayniile,Raadeel,3,3,3
1758,,Dayniile,Raadeel,2,4,3
1759,,Dayniile,Raadeel,3,3,3
1760,,Dayniile,Raadeel,2,2,2
1761,,Dayniile,Raadeel,6,5,7
1762,,Dayniile,Raadeel,4,4,4
1763,,Dayniile,Raadeel,3,2,5
1764,,Dayniile,Raadeel,0,0,1
1765,,Dayniile,Raadeel,2,2,4
1766,,Dayniile,Raadeel,7,7,7
1767,,Dayniile,Raadeel,4,7,4
1768,,Dayniile,Raadeel,1,1,1
1769,,Dayniile,Raadeel,8,8,8
1770,,Dayniile,Raadeel,3,4,3
1771,,Dayniile,Raadeel,2,3,2
1772,,Dayniile,Raadeel,7,7,8
1773,,Dayniile,Raadeel,3,3,4
1774,,Dayniile,Raadeel,0,0,13
1775,,Dayniile,Raadeel,2,3,2
1776,,Dayniile,Raadeel,2,3,2
1777,,Dayniile,Raadeel,1,1,1
1778,,Dayniile,Raadeel,3,2,2
1779,,Dayniile,Raadeel,7,6,6
1780,,Dayniile,Raadeel,6,4,5
1781,,Dayniile,Raadeel,7,13,12
1782,,Dayniile,Raadeel,2,3,2
1783,,Dayniile,Raadeel,3,3,3
1784,,Dayniile,Raadeel,10,2,2
1785,,Dayniile,Raadeel,2,2,3
1786,,Dayniile,Raadeel,4,4,3
1787,,Dayniile,Raadeel,7,7,4
1788,,Dayniile,Raadeel,4,3,4
1789,,Dayniile,Raadeel,0,0,3
1790,,Dayniile,Raadeel,3,4,4
1791,,Dayniile,Raadeel,6,2,3
1792,,Dayniile,Raadeel,3,3,4
1793,,Dayniile,Raadeel,1,1,2
1794,,Dayniile,Raadeel,15,17,13
1795,,Dayniile,Raadeel,3,3,3
1796,,Dayniile,Raadeel,2,2,3
1797,,Dayniile,Raadeel,10,12,13
1798,,Dayniile,Raadeel,4,1,2
1799,,Dayniile,Raadeel,9,5,15
1800,,Dayniile,Raadeel,3,2,5
1801,,Dayniile,Raadeel,7,8,7
1802,,Dayniile,Raadeel,0,0,0
1803,,Dayniile,Raadeel,2,3,2
1804,,Dayniile,Raadeel,1,1,1
1805,,Dayniile,Raadeel,4,4,4
1806,,Dayniile,Raadeel,4,3,3
1807,,Dayniile,Raadeel,1,2,1
1808,,Dayniile,Raadeel,5,3,4
1809,,Dayniile,Raadeel,7,6,7
1810,,Dayniile,Raadeel,3,3,2
1811,,Dayniile,Raadeel,11,11,11
1812,,Dayniile,Raadeel,12,18,19
1813,,Dayniile,Raadeel,1,1,1
1814,,Dayniile,Raadeel,18,18,14
1815,,Dayniile,Raadeel,4,5,5
1816,,Dayniile,Raadeel,4,3,6
1817,,Dayniile,Raadeel,9,9,6
1818,,Dayniile,Raadeel,7,8,7
1819,,Dayniile,Raadeel,9,9,7
1820,,Dayniile,Raadeel,4,3,3
1821,,Dayniile,Raadeel,22,22,21
1822,,Dayniile,Raadeel,1,3,2
1823,,Dayniile,Raadeel,10,7,5
1824,,Dayniile,Raadeel,2,4,1
1825,,Dayniile,Raadeel,2,2,5
1826,,Dayniile,Raadeel,4,4,5
1827,,Dayniile,Raadeel,3,5,6
1828,,Dayniile,Raadeel,3,2,2
1829,,Dayniile,Raadeel,3,4,4
1830,,Dayniile,Raadeel,3,5,4
1831,,Dayniile,Raadeel,5,5,5
1832,,Dayniile,Raadeel,4,3,5
1833,,Dayniile,Raadeel,70,69,68
1834,,Dayniile,Raadeel,20,15,19
1835,,Dayniile,Raadeel,27,29,39
1836,,Dayniile,Raadeel,1,0,0
1837,,Dayniile,Raadeel,5,5,5
1838,,Dayniile,Raadeel,1,1,1
1839,,Dayniile,Raadeel,33,24,19
1840,,Dayniile,Raadeel,4,3,5
1841,,Dayniile,Raadeel,2,4,3
1842,,Dayniile,Raadeel,3,2,1
1843,,Dayniile,Raadeel,19,18,16
1844,,Dayniile,Raadeel,7,18,15
1845,,Dayniile,Raadeel,1,1,1
1846,,Dayniile,Raadeel,2,2,4
1847,,Dayniile,Raadeel,5,6,5
6315,,Dayniile,Raadeel,2,2,1
6316,,Dayniile,Raadeel,6,6,4
6324,,Dayniile,Raadeel,13,13,14
6326,,Dayniile,Raadeel,2,2,1
6327,,Dayniile,Raadeel,4,13,21
6474,,Dayniile,Raadeel,4,5,4
6475,,Dayniile,Raadeel,4,8,8
6476,,Dayniile,Raadeel,0,0,0
6477,,Dayniile,Raadeel,2,3,4
6478,,Dayniile,Raadeel,5,5,6
6479,,Dayniile,Raadeel,3,3,2
6480,,Dayniile,Raadeel,4,5,5
6481,,Dayniile,Raadeel,6,8,8
6482,,Dayniile,Raadeel,7,8,7
6483,,Dayniile,Raadeel,8,6,3
6484,,Dayniile,Raadeel,8,8,7
6485,,Dayniile,Raadeel,5,5,5
6486,,Dayniile,Raadeel,0,2,5
6487,,Dayniile,Raadeel,2,2,3
6488,,Dayniile,Raadeel,4,4,3
6489,,Dayniile,Raadeel,3,8,4
6490,,Dayniile,Raadeel,4,5,5
6491,,Dayniile,Raadeel,6,6,7
6492,,Dayniile,Raadeel,11,9,11
6493,,Dayniile,Raadeel,3,3,2
6494,,Dayniile,Raadeel,5,7,6
6495,,Dayniile,Raadeel,4,2,3
6496,,Dayniile,Raadeel,1,1,1
6497,,Dayniile,Raadeel,9,6,5
6498,,Dayniile,Raadeel,5,4,4
6499,,Dayniile,Raadeel,5,5,5
6500,,Dayniile,Raadeel,5,4,6
6501,,Dayniile,Raadeel,7,6,6
6502,,Dayniile,Raadeel,4,4,4
6503,,Dayniile,Raadeel,14,14,12
6504,,Dayniile,Raadeel,1,2,1
6505,,Dayniile,Raadeel,12,2,5
6506,,Dayniile,Raadeel,6,7,7
6507,,Dayniile,Raadeel,4,4,4
6508,,Dayniile,Raadeel,4,2,3
6509,,Dayniile,Raadeel,1,0,1
7086,,Dayniile,Raadeel,7,7,7
7087,,Dayniile,Raadeel,4,5,4
7088,,Dayniile,Raadeel,1,1,2
7089,,Dayniile,Raadeel,6,3,4
7090,,Dayniile,Raadeel,5,7,5
7091,,Dayniile,Raadeel,10,14,10
7092,,Dayniile,Raadeel,11,10,8
7093,,Dayniile,Raadeel,5,4,5
7094,,Dayniile,Raadeel,5,4,5
7095,,Dayniile,Raadeel,7,7,6
7096,,Dayniile,Raadeel,7,7,4
7097,,Dayniile,Raadeel,10,7,9
7098,,Dayniile,Raadeel,12,13,17
7099,,Dayniile,Raadeel,6,5,6
7100,,Dayniile,Raadeel,6,6,8
7101,,Dayniile,Raadeel,16,13,14
7102,,Dayniile,Raadeel,6,7,8
7103,,Dayniile,Raadeel,5,5,6
7104,,Dayniile,Raadeel,7,7,7
7105,,Dayniile,Raadeel,4,5,3
7106,,Dayniile,Raadeel,6,7,6
7107,,Dayniile,Raadeel,2,4,2
7108,,Dayniile,Raadeel,5,5,6
7109,,Dayniile,Raadeel,5,6,4
7110,,Dayniile,Raadeel,5,4,5
7111,,Dayniile,Raadeel,3,4,4
7112,,Dayniile,Raadeel,16,16,15
7113,,Dayniile,Raadeel,8,8,2
7114,,Dayniile,Raadeel,5,6,6
7115,,Dayniile,Raadeel,8,8,8
7116,,Dayniile,Raadeel,3,8,10
7117,,Dayniile,Raadeel,11,9,9
7118,,Dayniile,Raadeel,6,7,8
7119,,Dayniile,Raadeel,0,0,2
7120,,Dayniile,Raadeel,1,2,1
7121,,Dayniile,Raadeel,13,13,14
7122,,Dayniile,Raadeel,4,4,5
7123,,Dayniile,Raadeel,4,4,4
7124,,Dayniile,Raadeel,6,7,7
7125,,Dayniile,Raadeel,9,9,7
7126,,Dayniile,Raadeel,9,8,8
7127,,Dayniile,Raadeel,5,4,4
7128,,Dayniile,Raadeel,5,6,5
7129,,Dayniile,Raadeel,2,3,2
7130,,Dayniile,Raadeel,9,8,8
7131,,Dayniile,Raadeel,0,0,0
7132,,Dayniile,Raadeel,10,11,15
7133,,Dayniile,Raadeel,3,2,3
7134,,Dayniile,Raadeel,13,12,10
7135,,Dayniile,Raadeel,24,22,26
7136,,Dayniile,Raadeel,5,4,5
7137,,Dayniile,Raadeel,2,2,2
7138,,Dayniile,Raadeel,3,1,1
7139,,Dayniile,Raadeel,1,1,1
7140,,Dayniile,Raadeel,12,6,7
7692,,Dayniile,Raadeel,16,15,14
7763,,Dayniile,Raadeel,9,12,11
7764,,Dayniile,Raadeel,31,21,0
7765,,Dayniile,Raadeel,3,3,4
7766,,Dayniile,Raadeel,3,2,2
7767,,Dayniile,Raadeel,4,3,4
7768,,Dayniile,Raadeel,6,5,5
7769,,Dayniile,Raadeel,9,9,9
7770,,Dayniile,Raadeel,4,3,4
7771,,Dayniile,Raadeel,6,3,5
7772,,Dayniile,Raadeel,6,7,7
7773,,Dayniile,Raadeel,2,2,2
7774,,Dayniile,Raadeel,6,7,6
7775,,Dayniile,Raadeel,0,0,3
7776,,Dayniile,Raadeel,2,2,2
7777,,Dayniile,Raadeel,16,16,13
7778,,Dayniile,Raadeel,17,15,11
7779,,Dayniile,Raadeel,0,2,5
7780,,Dayniile,Raadeel,10,9,10
7781,,Dayniile,Raadeel,5,2,1
7782,,Dayniile,Raadeel,3,3,4
7783,,Dayniile,Raadeel,1,4,1
7784,,Dayniile,Raadeel,1,2,2
7785,,Dayniile,Raadeel,7,8,7
7786,,Dayniile,Raadeel,2,3,3
7787,,Dayniile,Raadeel,14,13,15
7788,,Dayniile,Raadeel,8,10,7
7789,,Dayniile,Raadeel,1,1,1
7790,,Dayniile,Raadeel,8,7,5
7791,,Dayniile,Raadeel,8,6,6
7792,,Dayniile,Raadeel,3,4,3
7793,,Dayniile,Raadeel,4,4,5
8152,,Dayniile,Raadeel,18,16,16
8153,,Dayniile,Raadeel,6,5,4
8154,,Dayniile,Raadeel,15,11,12
8155,,Dayniile,Raadeel,7,5,6
8156,,Dayniile,Raadeel,9,8,7
8157,,Dayniile,Raadeel,2,4,3
8158,,Dayniile,Raadeel,6,7,4
8159,,Dayniile,Raadeel,7,7,9
8160,,Dayniile,Raadeel,4,4,7
8161,,Dayniile,Raadeel,9,17,18
8162,,Dayniile,Raadeel,4,1,4
8163,,Dayniile,Raadeel,17,17,18
8164,,Dayniile,Raadeel,6,6,3
8165,,Dayniile,Raadeel,4,3,4
8166,,Dayniile,Raadeel,5,4,4
8167,,Dayniile,Raadeel,15,14,13
8168,,Dayniile,Raadeel,6,5,6
8169,,Dayniile,Raadeel,3,2,2
8170,,Dayniile,Raadeel,9,8,9
8171,,Dayniile,Raadeel,2,3,4
8172,,Dayniile,Raadeel,6,6,8
8173,,Dayniile,Raadeel,13,13,11
8174,,Dayniile,Raadeel,5,6,4
8175,,Dayniile,Raadeel,0,0,0
8176,,Dayniile,Raadeel,26,27,25
8177,,Dayniile,Raadeel,8,8,8
8178,,Dayniile,Raadeel,6,6,4
8179,,Dayniile,Raadeel,1,1,2
8593,,Dayniile,Raadeel,2,5,93
8594,,Dayniile,Raadeel,7,8,8
8595,,Dayniile,Raadeel,7,8,8
8596,,Dayniile,Raadeel,20,9,12
8597,,Dayniile,Raadeel,6,6,7
8598,,Dayniile,Raadeel,3,2,2
8599,,Dayniile,Raadeel,1,2,2
8764,,Dayniile,Raadeel,16,20,22
8765,,Dayniile,Raadeel,3,2,2
8766,,Dayniile,Raadeel,3,3,2
8767,,Dayniile,Raadeel,5,6,6
8768,,Dayniile,Raadeel,8,7,7
8769,,Dayniile,Raadeel,9,10,10
8770,,Dayniile,Raadeel,12,10,8
8771,,Dayniile,Raadeel,5,7,6
8772,,Dayniile,Raadeel,8,7,6
8773,,Dayniile,Raadeel,0,0,4
8774,,Dayniile,Raadeel,5,4,1
8775,,Dayniile,Raadeel,6,5,6
8776,,Dayniile,Raadeel,8,9,9
8777,,Dayniile,Raadeel,9,8,9
8778,,Dayniile,Raadeel,7,7,6
8779,,Dayniile,Raadeel,2,2,3
8780,,Dayniile,Raadeel,14,8,10
8781,,Dayniile,Raadeel,4,9,6
8782,,Dayniile,Raadeel,4,4,3
8783,,Dayniile,Raadeel,5,7,7
8784,,Dayniile,Raadeel,5,5,3
8785,,Dayniile,Raadeel,16,19,17
8786,,Dayniile,Raadeel,4,4,5
9057,,Dayniile,Raadeel,4,5,3
9058,,Dayniile,Raadeel,7,9,13
9059,,Dayniile,Raadeel,9,8,10
9060,,Dayniile,Raadeel,12,10,16
9061,,Dayniile,Raadeel,2,1,1
9062,,Dayniile,Raadeel,12,10,11
9063,,Dayniile,Raadeel,8,8,8
9064,,Dayniile,Raadeel,6,6,5
9065,,Dayniile,Raadeel,9,11,10
9066,,Dayniile,Raadeel,4,3,3
9255,,Dayniile,Raadeel,4,5,4
9256,,Dayniile,Raadeel,11,8,8
9257,,Dayniile,Raadeel,9,10,10
9258,,Dayniile,Raadeel,10,8,11
9259,,Dayniile,Raadeel,8,7,11
9260,,Dayniile,Raadeel,8,6,9
9261,,Dayniile,Raadeel,2,2,2
9262,,Dayniile,Raadeel,9,10,9
9263,,Dayniile,Raadeel,3,3,4
9264,,Dayniile,Raadeel,4,4,4
9265,,Dayniile,Raadeel,1,1,1
9266,,Dayniile,Raadeel,6,7,5
9267,,Dayniile,Raadeel,8,7,6
9268,,Dayniile,Raadeel,4,4,4
9269,,Dayniile,Raadeel,3,7,5
9270,,Dayniile,Raadeel,9,6,8
9271,,Dayniile,Raadeel,8,4,4
9272,,Dayniile,Raadeel,19,20,23
9495,,Dayniile,Raadeel,7,7,11
9519,,Dayniile,Raadeel,10,10,10
9520,,Dayniile,Raadeel,4,4,3
9521,,Dayniile,Raadeel,9,7,6
9593,,Dayniile,Raadeel,6,5,4
9594,,Dayniile,Raadeel,7,6,6
9595,,Dayniile,Raadeel,5,6,8
9668,,Dayniile,Raadeel,8,9,7
9692,,Dayniile,Raadeel,4,8,8
9706,,Dayniile,Raadeel,5,7,16
9707,,Dayniile,Raadeel,6,7,6
9708,,Dayniile,Raadeel,6,7,6
9709,,Dayniile,Raadeel,20,23,16
9710,,Dayniile,Raadeel,8,9,6
9711,,Dayniile,Raadeel,9,9,9
9712,,Dayniile,Raadeel,2,2,2
9713,,Dayniile,Raadeel,7,7,7
9714,,Dayniile,Raadeel,5,3,5
9715,,Dayniile,Raadeel,10,10,8
9760,,Dayniile,Raadeel,7,6,5
9761,,Dayniile,Raadeel,0,0,0
9790,,Dayniile,Raadeel,2,3,3
9805,,Dayniile,Raadeel,2,3,2
9806,,Dayniile,Raadeel,2,3,2
9849,,Dayniile,Raadeel,12,12,10
9850,,Dayniile,Raadeel,5,7,6
9851,,Dayniile,Raadeel,3,4,8
9852,,Dayniile,Raadeel,5,6,6
9888,,Dayniile,Raadeel,1,1,1
9889,,Dayniile,Raadeel,11,9,10
9890,,Dayniile,Raadeel,11,14,12
9891,,Dayniile,Raadeel,1,1,1
9892,,Dayniile,Raadeel,5,4,2
9893,,Dayniile,Raadeel,5,5,4
9981,,Dayniile,Raadeel,11,8,12
9982,,Dayniile,Raadeel,2,4,3
9983,,Dayniile,Raadeel,4,3,4
10015,,Dayniile,Raadeel,6,4,4
10016,,Dayniile,Raadeel,12,12,12
10017,,Dayniile,Raadeel,5,7,7
10018,,Dayniile,Raadeel,5,3,5
10054,,Dayniile,Raadeel,1,1,1
10055,,Dayniile,Raadeel,0,1,0
10078,,Dayniile,Raadeel,0,0,0
10079,,Dayniile,Raadeel,6,11,15
10129,,Dayniile,Raadeel,13,13,12
10130,,Dayniile,Raadeel,8,6,8
10174,,Dayniile,Raadeel,6,8,6
10199,,Dayniile,Raadeel,6,6,6
10225,,Dayniile,Raadeel,6,5,11
10226,,Dayniile,Raadeel,3,3,3
10264,,Dayniile,Raadeel,14,15,15
10277,,Dayniile,Raadeel,5,5,4
10394,,Dayniile,Raadeel,10,13,13
10395,,Dayniile,Raadeel,6,8,7
10427,,Dayniile,Raadeel,11,9,9
